id,company,title,required_skills,preferred_skills,description,job_type,deadline
12,금융L,리스크 분석가,"Python, 통계, 금융공학","VBA, Bloomberg, SQL",금융 리스크 모델을 개발하고 규제 보고서를 작성합니다. CFA 또는 FRM 자격증을 우대합니다.,금융분석,2026-09-25
13,공기업M,데이터 사이언티스트,"Python, SQL, Machine Learning","딥러닝, 시각화, NLP",공공 서비스 개선을 위한 데이터 분석 및 AI 모델을 개발합니다. 공공 데이터 활용 경험을 우대합니다.,데이터 분석,2026-10-31
14,게임N,게임 데이터 분석가,"SQL, Python, 게임 도메인","R, 행동분석, A/B테스트",게임 유저 행동 데이터를 분석하고 게임 밸런싱 및 수익화 전략을 지원합니다.,데이터 분석,2026-09-30
15,한빛세미콘,아날로그 IC 설계 엔지니어,"전자회로, 회로이론, SPICE, 회로 시뮬레이션","Cadence Virtuoso, Layout 검증, Python, MATLAB",전력관리 IC와 센서 인터페이스 회로를 설계하고 회로 시뮬레이션 및 성능 검증을 수행합니다.,반도체 설계,2026-08-31
16,코어링크칩스,디지털 RTL 설계 엔지니어,"디지털논리회로, Verilog, Linux, Git","SystemVerilog, FPGA, 논리합성, Timing Analysis",시스템 반도체의 디지털 블록을 RTL로 설계하고 기능 검증 및 합성 결과 분석을 수행합니다.,반도체 설계,2026-09-15
17,미래소자연구소,반도체 소자·회로 시뮬레이션 엔지니어,"반도체공학, 회로 시뮬레이션, SPICE, Python","TCAD, MATLAB, C/C++, 데이터 분석",MOSFET 등 반도체 소자의 전기적 특성을 분석하고 소자·회로 시뮬레이션을 통해 설계 성능과 신뢰성을 검증합니다.,반도체 설계,2026-09-30
18,팹리스온,SoC 검증 엔지니어,"Verilog, 디지털논리회로, Python, Linux","SystemVerilog, UVM, C++, FPGA",SoC 설계 블록의 기능 검증 환경을 구축하고 테스트벤치 작성 및 시뮬레이션 결과 분석을 수행합니다.,반도체 설계,2026-10-05
19,파워칩랩,전력반도체 회로 설계 엔지니어,"전력전자, 회로이론, SPICE, PCB 이해","SiC, GaN, OrCAD, Python",전력변환 회로와 전력반도체 구동 회로를 설계하고 효율 및 안정성을 검증합니다.,반도체 설계,2026-10-20
20,로보틱스랩,임베디드 제어 SW 엔지니어,"C/C++, Python, Linux, 제어공학","ROS2, CAN, Git, 실시간 제어",센서와 모터를 연동한 임베디드 제어 소프트웨어를 개발하고 로봇 동작 안정성을 개선합니다.,임베디드/로봇,2026-09-18
21,모션시스템즈,모터 제어 엔지니어,"전력전자, 제어공학, C/C++, MATLAB","BLDC, 인버터, 센서 신호처리, PCB",모터 구동 알고리즘을 설계하고 인버터 제어 및 센서 피드백 기반 제어 성능을 검증합니다.,전력전자/제어,2026-10-10
22,스마트센서랩,센서 시스템 엔지니어,"전자회로, 센서 신호처리, Python, PCB 설계","아날로그 회로, ADC, I2C, SPI",온도·진동·전류 센서 데이터를 수집하고 신호처리 회로와 펌웨어를 함께 설계합니다.,센서/IoT,2026-09-28
23,에지AI테크,임베디드 AI 엔지니어,"Python, C++, Linux, 딥러닝","Jetson, TensorRT, OpenCV, PyTorch",엣지 디바이스에서 동작하는 AI 추론 시스템을 개발하고 카메라 기반 인식 모델을 최적화합니다.,AI/임베디드,2026-10-15
24,통신시스템연구소,RF·통신 시스템 엔지니어,"통신이론, 신호처리, MATLAB, Python","RF 회로, SDR, 안테나, C/C++",무선 통신 신호를 분석하고 RF 시스템 성능 검증 및 시뮬레이션 업무를 수행합니다.,통신/RF,2026-09-22
25,그린파워,전력전자 설계 엔지니어,"전력전자, 회로이론, MATLAB, SPICE","PSIM, PCB 설계, 인버터, 모터제어",전력변환 장치의 회로를 설계하고 시뮬레이션과 실험을 통해 효율과 발열 특성을 개선합니다.,전력전자/제어,2026-10-31
26,PCB하드웨어랩,하드웨어 설계 엔지니어,"전자회로, PCB 설계, 회로이론, 계측기 사용","Altium, OrCAD, EMI/EMC, 납땜",센서 보드와 제어 보드의 회로도를 작성하고 PCB 설계 및 계측기 기반 검증을 수행합니다.,하드웨어 설계,2026-09-30
27,자율시스템즈,로봇 제어 엔지니어,"제어공학, Python, C/C++, 센서 융합","ROS2, SLAM, CAN, 모터 제어",자율주행 로봇의 센서 데이터를 처리하고 주행 제어 알고리즘을 개발합니다.,임베디드/로봇,2026-10-25
28,반도체데이터랩,공정 데이터 분석가,"Python, SQL, 데이터 분석, 반도체공학","머신러닝, 시각화, 통계, 공정 이해",반도체 공정 데이터를 분석해 불량 원인을 찾고 수율 개선을 위한 데이터 기반 인사이트를 도출합니다.,데이터 분석,2026-09-12
